id;rubrics
1;Общественные и гуманитарные науки
2;Философия и логика
3;Метафизика. Онтология
4;Гносеология (эпистемология). Философия науки
5;История философии
6;Логика
7;Философская антропология. Аксиология
8;Социальная философия
9;Этика. Культура поведения и этикет
10;Эстетика
11;История. Исторические науки
12;Источниковедение. Специальные исторические дисциплины
13;История в целом. Всемирная история
14;История России
15;История частей света и зарубежных стран
16;Археология
17;Этнология (этнография, народоведение). Обычаи и обряды
18;Экономика, управление, бизнес. Экономические науки
19;Общая экономическая теория. История экономики. История хозяйства. Экономическая география
20;Управление экономикой. Менеджмент, учет, аудит, экономические статистика и снализ, планирование, прогнозирование
21;Мировая экономика. Мировые экономические отношения. Экономика стран и регионов
22;Экономика труда и ценообразования
23;Финансы. Банковское дело. Рынок ценных бумаг. Страхование. Социальное обеспечение
24;Бизнес и предпринимательство. Экономика предприятия
25;Экономика промышленности, строительства, недвижимости, транспорта и связи
26;Экономика сельского, лесного, рыбного, мелиоративного и водного хозяйства
27;Торговля. Бытовое обслуживание. Маркетинг. Экономика рекламы
28;Экономика прочих отраслей
29;Политика. Политические науки
30;Политология
31;История политической мысли
32;Политика и современное политическое положение в целом
33;Внутренняя политика в целом. Внутренняя политика зарубежных стран и регионов
34;Внутренняя политика Российской Федерации
35;Внешняя политика в целом. Дипломатия. Внешняя политика зарубежных стран и регионов
36;Внешняя политика Российской Федерации
37;Политические движения и партии
38;Общественные движения и организации
39;Право. Юридические науки
40;Общая теория права. История правовой мысли. История государства и права
41;Конституционное (государственное) право
42;Административное право
43;Гражданское, торговое, финансовое, интеллектуальное право. Семейное право
44;Трудовое право и право социального обеспечения
45;Уголовное и уголовно-исполнительное право. Судебно-процессуальное право. Судопроизводство
46;Другие отрасли права
47;Криминология, криминалистика, судебная экспертиза, юридическая статистика
48;Органы юстиции. Судебная система, прокуратура, органы расследования, адвокатура, нотариат
49;Международное право. Право отдельных стран
50;Социология
51;История социологии
52;Общество в целом. Общие характеристики социума
53;Социология личности
54;Социология групп и организаций
55;Экономическая социология
56;Политическая социология
57;Социология семьи, брака и отношений полов
58;Социология социального обеспечения и благотворительной деятельности
59;Социологии других областей
60;Региональная социология
61;Статистика и демография. Социальное управление. Социальная защита
62;Статистика
63;Демография
64;Социальное управление
65;Социальная защита
66;Религия. Мистика. Свободомыслие
67;Религия в целом. Религиоведение
68;Ранние формы религии. Религии древнего мира
69;Христианство
70;Ислам (мусульманство)
71;Иудаизм
72;Буддизм
73;Другие религии
74;Формы нетрадиционной религиозности. Культы, секты
75;Мистика. Магия. Эзотерика и оккультизм
76;Свободомыслие. Атеизм. Светский гуманизм. Секуляризм
77;Военное дело. Военная наука
78;Вооруженные силы в целом. Военная история. Военная служба
